Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Brighton and Hove Albion,2,2,0,0,6,2,6,6
2,Manchester City,2,2,0,0,4,0,4,6
3,Arsenal,2,2,0,0,2,1,2,6
4,Brentford,2,1,1,0,3,2,3,4
5,Liverpool,2,1,1,0,2,2,2,4
6,Tottenham Hotspur,2,1,1,0,2,2,2,4
7,West Ham United,2,1,1,0,2,2,2,4
8,Newcastle United,2,1,0,1,3,2,3,3
9,Aston Villa,2,1,0,1,0,5,0,3
10,Nottingham Forest,2,1,0,1,0,3,0,3
11,Crystal Palace,2,1,0,1,0,1,0,3
12,Manchester United,2,1,0,1,-1,2,-1,3
13,Fulham,2,1,0,1,-2,3,-2,3
14,Bournemouth,2,0,1,1,-2,4,-2,1
15,Chelsea,2,0,1,1,-2,4,-2,1
16,Sheffield United,2,0,0,2,-2,3,-2,0
17,Luton Town,1,0,0,1,-3,4,-3,0
18,Burnley,1,0,0,1,-3,3,-3,0
19,Wolverhampton Wanderers,2,0,0,2,-4,5,-4,0
20,Everton,2,0,0,2,-5,5,-5,0
