Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Chelsea,9,7,1,1,23,3,20,22
2,Liverpool,9,6,3,0,27,6,21,21
3,Manchester City,9,6,2,1,20,4,16,20
4,West Ham United,9,5,2,2,16,10,6,17
5,Brighton and Hove Albion,9,4,3,2,9,9,0,15
6,Tottenham Hotspur,9,5,0,4,9,13,-4,15
7,Manchester United,9,4,2,3,16,15,1,14
8,Everton,9,4,2,3,15,14,1,14
9,Leicester City,9,4,2,3,15,15,0,14
10,Arsenal,9,4,2,3,10,13,-3,14
11,Wolverhampton Wanderers,9,4,1,4,9,9,0,13
12,Brentford,9,3,3,3,11,9,2,12
13,Aston Villa,9,3,1,5,13,15,-2,10
14,Watford,9,3,1,5,12,17,-5,10
15,Crystal Palace,9,1,6,2,11,14,-3,9
16,Southampton,9,1,5,3,8,12,-4,8
17,Leeds United,9,1,4,4,8,16,-8,7
18,Burnley,9,0,4,5,7,15,-8,4
19,Newcastle United,9,0,4,5,11,20,-9,4
20,Norwich City,9,0,2,7,2,23,-21,2
