Position,Teams,Games_Played,Games_Won,Games_Drawn,Games_Lost,GF,GA,GD,Points
1,Tottenham Hotspur,10,8,2,0,13,9,13,26
2,Arsenal,10,7,3,0,15,8,15,24
3,Manchester City,10,8,0,2,15,7,15,24
4,Liverpool,10,7,2,1,14,9,14,23
5,Aston Villa,10,7,1,2,12,14,12,22
6,Newcastle United,10,5,2,3,15,11,15,17
7,Brighton and Hove Albion,10,5,2,3,4,19,4,17
8,Manchester United,10,5,0,5,-5,16,-5,15
9,West Ham United,10,4,2,4,-1,17,-1,14
10,Brentford,10,3,4,3,4,12,4,13
11,Chelsea,10,3,3,4,2,11,2,12
12,Wolverhampton Wanderers,10,3,3,4,-4,17,-4,12
13,Crystal Palace,10,3,3,4,-5,13,-5,12
14,Fulham,10,3,3,4,-7,16,-7,12
15,Everton,10,3,1,6,-4,14,-4,10
16,Nottingham Forest,10,2,4,4,-5,15,-5,10
17,Bournemouth,10,1,3,6,-13,21,-13,6
18,Luton Town,10,1,2,7,-11,20,-11,5
19,Burnley,10,1,1,8,-17,25,-17,4
20,Sheffield United,10,0,1,9,-22,29,-22,1
